172.202.104.166 - - [09/Feb/2026:00:35:14 +0000] "GET /hudson HTTP/1.1" 404 134 "-" "Mozilla/5.0 zgrab/0.x"
170.64.211.69 - - [09/Feb/2026:00:35:56 +0000] "GET /.git/config HTTP/1.1" 404 196 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
102.22.20.125 - - [09/Feb/2026:00:41:19 +0000] "GET /admin/config.php HTTP/1.0" 404 162 "-" "xfa1,nvdorz,nvd0rz"
93.174.93.12 - - [09/Feb/2026:00:42:54 +0000] "\x16\x03\x02\x01o\x01\x00\x01k\x03\x02RH\xC5\x1A#\xF7:N\xDF\xE2\xB4\x82/\xFF\x09T\x9F\xA7\xC4y\xB0h\xC6\x13\x8C\xA4\x1C=\x22\xE1\x1A\x98 \x84\xB4,\x85\xAFn\xE3Y\xBBbhl\xFF(=':\xA9\x82\xD9o\xC8\xA2\xD7\x93\x98\xB4\xEF\x80\xE5\xB9\x90\x00(\xC0" 400 166 "-" "-"
170.64.211.69 - - [09/Feb/2026:01:07:31 +0000] "GET /.git/config HTTP/1.1" 404 196 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
185.242.226.113 - - [09/Feb/2026:01:27:33 +0000] "\x16\x03\x01\x00\x8C\x01\x00\x00\x88\x03\x03)\xE2\xF7X\xCD%rZ\x0B\xB8\x9D\xDD\xACUqFw\x9B^\xF8\xB5\xF5\xD6aq\xB1v\x13P\x18\xEBa\x00\x00\x1A\xC0/\xC0+\xC0\x11\xC0\x07\xC0\x13\xC0\x09\xC0\x14\xC0" 400 166 "-" "-"
93.174.93.12 - - [09/Feb/2026:02:05:27 +0000] "GET / HTTP/1.0" 301 178 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1 Mobile/15E148 Safari/604.1"
4.188.251.0 - - [09/Feb/2026:02:07:03 +0000] "GET /wp-content/plugins/hellopress/wp_filemanager.php HTTP/1.1" 404 162 "-" "-"
4.188.251.0 - - [09/Feb/2026:02:07:03 +0000] "GET /file.php HTTP/1.1" 404 162 "-" "-"
4.188.251.0 - - [09/Feb/2026:02:07:03 +0000] "GET /27.php HTTP/1.1" 404 162 "-" "-"
4.188.251.0 - - [09/Feb/2026:02:07:03 +0000] "GET /ccou.php HTTP/1.1" 404 162 "-" "-"
4.188.251.0 - - [09/Feb/2026:02:07:03 +0000] "GET /ws64.php HTTP/1.1" 404 162 "-" "-"
4.188.251.0 - - [09/Feb/2026:02:07:03 +0000] "GET /bay11.php HTTP/1.1" 404 162 "-" "-"
4.188.251.0 - - [09/Feb/2026:02:07:03 +0000] "GET /41.php HTTP/1.1" 404 162 "-" "-"
4.188.251.0 - - [09/Feb/2026:02:07:03 +0000] "GET /zc-845.php HTTP/1.1" 404 162 "-" "-"
